Th,Ph,E,NrHits,NrBumps,E1,E1E9,E9E25,Z20,Z53,LatMom
139.663,71.5137,1.90579,15,1,1.04262,0.579865,0.95899,0.967313,0.00123512,0.34527
38.0568,-48.3647,4.86656,26,1,3.35345,0.718005,0.973649,0.967918,0.00291218,0.94742
8.88639,-96.8893,3.09658,23,1,2.45434,0.828543,0.963675,0.975616,0.00300372,0.322211
51.8927,-76.6848,3.43225,25,1,2.02742,0.630117,0.950366,0.956742,0.00203794,0.958794
134.375,65.1426,4.5133,29,1,3.12427,0.736749,0.953535,0.967648,0.00195128,0.53224
100.497,124.2,3.48544,25,1,2.7961,0.839124,0.969075,0.972435,0.00128999,0.680901
13.7298,1.49428,2.24372,18,1,1.70687,0.789029,0.973619,0.97498,0.00266331,0.636611
57.0817,21.448,1.68602,14,1,1.40657,0.857632,0.985066,0.979965,0.00177253,0.268649
63.7302,-154.427,1.24607,14,1,0.763956,0.637131,0.97523,0.969223,0.00218666,0.32424
109.253,42.5536,4.89483,36,2,3.15141,0.683731,0.964276,0.962717,0.00183225,0.468994
92.8061,-47.2089,1.45167,15,1,1.04224,0.746202,0.970694,0.976044,0.00221852,0.302537
3.91147,-39.186,3.87837,20,2,2.93403,0.889002,0.878631,0.910268,0.0124157,0.759364
31.7619,129.988,2.47477,19,1,1.76715,0.741034,0.970086,0.977895,0.00419218,0.780784
